gen	div	cat	vir
granulin	0	0	ErelGV-86
ErelOrf-2	0	0	ErelGV-86
pk-1	2	2	ErelGV-86
ErelOrf-4	0	0	ErelGV-86
dUTPase-like	2	2	ErelGV-86
ErelOrf-6	0	0	ErelGV-86
ErelOrf-7	0	0	ErelGV-86
ie-1	0	0	ErelGV-86
ErelOrf-9	0	0	ErelGV-86
ErelOrf-10	0	0	ErelGV-86
ErelOrf-11	4	4	ErelGV-86
ErelOrf-12	0	0	ErelGV-86
odv-e18	0	0	ErelGV-86
p49	0	0	ErelGV-86
ErelOrf-15	0	0	ErelGV-86
odv-e56	1	1	ErelGV-86
ErelOrf-17	0	0	ErelGV-86
ErelOrf-18	1	1	ErelGV-86
ErelOrf-19	0	0	ErelGV-86
pep-1	0	0	ErelGV-86
pep/p10	0	0	ErelGV-86
pep-2	0	0	ErelGV-86
ErelOrf-23	2	2	ErelGV-86
ErelOrf-24	1	1	ErelGV-86
ErelOrf-25	1	1	ErelGV-86
ErelOrf-26	2	2	ErelGV-86
ErelOrf-27	0	0	ErelGV-86
f-protein/efp	6	5	ErelGV-86
ErelOrf-29	5	5	ErelGV-86
ErelOrf-30	4	4	ErelGV-86
pif-3	1	1	ErelGV-86
ErelOrf-32	0	0	ErelGV-86
ErelOrf-33	0	0	ErelGV-86
lef-2	0	0	ErelGV-86
ErelOrf-35	0	0	ErelGV-86
he65-like	1	1	ErelGV-86
ErelOrf-37	2	2	ErelGV-86
ErelOrf-38	0	0	ErelGV-86
mp-nase	0	0	ErelGV-86
p13	0	0	ErelGV-86
chtBP	0	0	ErelGV-86
pif-2	0	0	ErelGV-86
pp-1	1	1	ErelGV-86
ErelOrf-44	0	0	ErelGV-86
ErelOrf-45	0	0	ErelGV-86
ErelOrf-46	0	0	ErelGV-86
v-ubq	0	0	ErelGV-86
ErelOrf-48	1	1	ErelGV-86
ErelOrf-49	1	1	ErelGV-86
39k/pp31	1	1	ErelGV-86
lef-11	0	0	ErelGV-86
sod	1	1	ErelGV-86
ErelOrf-53	2	2	ErelGV-86
p10	2	2	ErelGV-86
p74	6	5	ErelGV-86
ErelOrf-56	2	2	ErelGV-86
ErelOrf-57	1	1	ErelGV-86
ErelOrf-58	0	0	ErelGV-86
ErelOrf-59	0	0	ErelGV-86
ErelOrf-60	0	0	ErelGV-86
