p1	p2	system	complexIdent	virIdent	hostIdent	dope_score	virDomPos	virIntPos	hostDomPos	hostIntPos	rms	infection
P0CK30	P18892	BHV1-COW	27.059	28.216	20.168	-34613.92578	58.92	61.9	61.34	32.0	0.8861	cow_na
P0CK30	P31783	BHV1-COW	25.588	28.216	16.239	-35631.34766	58.92	61.9	51.28	60.0	0.9766	cow_na
P0CK30	A5D7B2	BHV1-COW	27.353	28.216	20.833	-35163.01172	58.92	61.9	65.83	48.0	1.2646	cow_na
P0CK30	P81282	BHV1-COW	27.647	28.216	19.847	-35561.14062	58.92	61.9	64.89	56.0	0.9475	cow_na
P0CK30	Q8WMV3	BHV1-COW	27.941	28.216	21.6	-35118.82812	58.92	61.9	60.0	52.0	0.9701	cow_na
P0CK30	A7E3C4	BHV1-COW	26.331	28.216	19.091	-35267.875	58.92	61.9	49.09	48.0	0.9037	cow_na
P0CK30	A4FUY1	BHV1-COW	29.118	28.216	26.05	-34361.02344	58.92	61.9	68.07	56.0	1.2047	cow_na
P0CK30	P55252	BHV1-COW	28.529	28.216	23.77	-34111.6875	58.92	61.9	63.11	76.0	0.9722	cow_na
P0CK30	Q08DK1	BHV1-COW	27.647	28.216	21.311	-36956.51172	58.92	61.9	57.38	52.0	0.885	cow_na
P0CK30	Q9XT56	BHV1-COW	26.409	28.216	18.421	-33414.25781	58.92	61.9	61.4	52.0	0.9678	cow_na
P0CK30	Q0V881	BHV1-COW	25.294	28.216	15.652	-35669.64062	58.92	61.9	50.43	40.0	0.8515	cow_na
P0CK30	P55803	BHV1-COW	27.647	28.216	21.488	-34673.27344	58.92	61.9	66.94	40.0	0.9418	cow_na
P0CK30	Q32PI9	BHV1-COW	27.059	28.216	19.672	-36188.60938	58.92	61.9	63.93	56.0	0.8074	cow_na
P0CK30	Q5EAB0	BHV1-COW	28.529	28.216	23.967	-36518.625	58.92	61.9	62.81	40.0	0.7755	cow_na
P0CK30	A5D7C3	BHV1-COW	26.471	28.216	18.182	-35804.18359	58.92	61.9	66.94	68.0	0.8433	cow_na
P0CK30	Q148M6	BHV1-COW	27.059	28.216	18.462	-36023.14062	58.92	61.9	56.92	36.0	0.8694	cow_na
P0CK30	P10522	BHV1-COW	28.235	28.216	22.764	-36574.55469	58.92	61.9	71.54	68.0	1.0449	cow_na
P0CK30	P13608	BHV1-COW	27.353	28.216	19.531	-36260.27344	58.92	61.9	71.87	56.0	0.9405	cow_na
P0CK30	Q28062	BHV1-COW	28.529	28.216	23.387	-35331.00781	58.92	61.9	64.52	60.0	1.0035	cow_na
P0CK30	P81265	BHV1-COW	26.627	28.216	18.644	-33096.92578	58.92	61.9	60.17	28.0	0.8817	cow_na
P0CK30	Q5E9Z9	BHV1-COW	29.706	28.216	27.5	-35064.5625	58.92	61.9	62.5	68.0	0.8724	cow_na
P0CK30	Q17QN4	BHV1-COW	26.471	28.216	16.418	-37583.55859	58.92	61.9	65.67	56.0	0.9953	cow_na
P0CK30	Q2KI11	BHV1-COW	26.471	28.216	17.886	-36068.62891	58.92	61.9	60.98	56.0	0.9146	cow_na
P0CK30	Q08E08	BHV1-COW	25.588	28.216	15.702	-35467.57031	58.92	61.9	57.85	32.0	0.9556	cow_na
P0CK30	O46631	BHV1-COW	28.235	28.216	22.951	-34729.17969	58.92	61.9	61.48	48.0	0.9018	cow_na
P0CK30	Q6QUN5	BHV1-COW	27.647	28.216	22.609	-34867.76953	58.92	61.9	55.65	40.0	0.8131	cow_na
P0CK30	Q29RR6	BHV1-COW	28.824	28.216	24.793	-36117.99609	58.92	61.9	71.9	72.0	0.8192	cow_na
P0CK30	A6QPH6	BHV1-COW	26.471	28.216	17.6	-35765.46484	58.92	61.9	61.6	44.0	0.907	cow_na
P0CK30	A6QPS6	BHV1-COW	26.471	28.216	18.803	-33469.41016	58.92	61.9	62.39	64.0	0.9722	cow_na
P0CK30	A6QLR1	BHV1-COW	30.0	28.216	28.333	-34923.73047	58.92	61.9	62.5	68.0	0.8291	cow_na
P0CK30	A7MAZ7	BHV1-COW	25.882	28.216	17.094	-35902.22266	58.92	61.9	51.28	60.0	0.9141	cow_na
P0CK30	Q3MHE5	BHV1-COW	27.647	28.216	19.697	-35056.51562	58.92	61.9	65.15	56.0	0.9113	cow_na
P0CK30	Q32L73	BHV1-COW	23.824	28.216	11.607	-34644.50391	58.92	61.9	45.54	48.0	0.9395	cow_na
P0CK30	A7YWT5	BHV1-COW	25.526	28.216	15.596	-33358.19141	58.92	61.9	52.29	52.0	0.9729	cow_na
P0CK30	A5D7I8	BHV1-COW	26.765	28.216	19.167	-35694.98828	58.92	61.9	54.17	44.0	0.8763	cow_na
P0CK30	E1B757	BHV1-COW	29.412	28.216	26.23	-36650.21094	58.92	61.9	64.75	56.0	0.9367	cow_na
P0CK30	Q32LF2	BHV1-COW	28.235	28.216	23.932	-34725.88672	58.92	61.9	57.26	44.0	0.8074	cow_na
P0CK30	C5NU11	BHV1-COW	27.353	28.216	20.661	-36339.375	58.92	61.9	64.46	44.0	0.8912	cow_na
P0CK30	A4FV85	BHV1-COW	27.059	28.216	20.168	-35139.00781	58.92	61.9	57.98	32.0	0.8658	cow_na
P0CK30	Q71AW3	BHV1-COW	27.647	28.216	21.311	-33848.32031	58.92	61.9	56.56	40.0	1.0949	cow_na
P0CK30	A5PK95	BHV1-COW	25.294	28.216	16.216	-35011.73438	58.92	61.9	49.55	40.0	0.9084	cow_na
P0CK30	A2VE28	BHV1-COW	28.529	28.216	23.77	-35410.04297	58.92	61.9	71.31	48.0	0.9577	cow_na
P0CK30	Q2TBL2	BHV1-COW	26.866	28.216	20.183	-33997.05469	58.92	61.9	57.8	68.0	0.8042	cow_na
P0CK30	O46405	BHV1-COW	27.059	28.216	20.513	-36044.96094	58.92	61.9	53.85	40.0	1.2109	cow_na
P0CK30	Q2KII3	BHV1-COW	25.588	28.216	16.522	-33071.13281	58.92	61.9	51.3	56.0	0.8671	cow_na
P0CK30	Q2TA28	BHV1-COW	27.647	28.216	22.222	-34689.91406	58.92	61.9	57.26	44.0	0.8836	cow_na
P0CK30	Q17QC7	BHV1-COW	32.941	28.216	33.333	-36511.02734	58.92	61.9	70.45	80.0	0.7594	cow_na
P0CK30	A8E4P9	BHV1-COW	28.529	28.216	23.577	-35077.16797	58.92	61.9	62.6	72.0	1.1276	cow_na
P0CK30	Q2KHW2	BHV1-COW	26.765	28.216	19.828	-33542.08203	58.92	61.9	60.34	60.0	0.9616	cow_na
P0CK30	Q28090	BHV1-COW	27.647	28.216	21.311	-33848.32031	58.92	61.9	56.56	40.0	1.0949	cow_na
P0CK30	Q0VD13	BHV1-COW	27.059	28.216	20.87	-34253.70703	58.92	61.9	59.13	68.0	0.9526	cow_na
P0CK30	A7YW22	BHV1-COW	25.0	28.216	15.044	-33151.44531	58.92	61.9	52.21	40.0	0.8945	cow_na
P0CK30	A6QPC6	BHV1-COW	27.941	28.216	22.131	-34323.21094	58.92	61.9	62.3	48.0	0.8899	cow_na
P0CK30	Q08D76	BHV1-COW	27.647	28.216	18.978	-36041.5625	58.92	61.9	67.88	52.0	0.9556	cow_na
P0CK30	Q1RMK5	BHV1-COW	27.647	28.216	21.849	-35252.05859	58.92	61.9	62.18	48.0	0.9732	cow_na
P0CK30	A6QNP4	BHV1-COW	27.647	28.216	21.849	-35325.78125	58.92	61.9	61.34	36.0	0.8234	cow_na
P0CK30	B2ZEZ4	BHV1-COW	27.059	28.216	20.168	-34992.20703	58.92	61.9	60.5	48.0	0.965	cow_na
P0CK30	Q29ZQ4	BHV1-COW	27.647	28.216	21.488	-34673.27344	58.92	61.9	66.94	40.0	0.9418	cow_na
P0CK30	A7YW30	BHV1-COW	25.588	28.216	15.966	-36818.84375	58.92	61.9	57.14	44.0	1.0748	cow_na
P0CK30	F1MI37	BHV1-COW	26.176	28.216	17.355	-35343.36719	58.92	61.9	66.94	68.0	0.8962	cow_na
P0CK30	Q3T019	BHV1-COW	25.595	28.216	16.071	-32127.85938	58.92	61.9	51.79	60.0	1.065	cow_na
P0CK30	Q1JPC5	BHV1-COW	27.761	28.216	22.523	-34218.03516	58.92	61.9	53.15	40.0	0.9526	cow_na
P0CK30	Q05B59	BHV1-COW	26.471	28.216	18.333	-34267.88672	58.92	61.9	64.17	56.0	0.937	cow_na
P0CK30	A4IFI9	BHV1-COW	25.369	28.216	16.071	-33422.82812	58.92	61.9	57.14	40.0	0.8418	cow_na
P0CK30	G3MXG6	BHV1-COW	25.588	28.216	16.239	-32902.44531	58.92	61.9	55.56	48.0	0.8404	cow_na
P0CK30	G3MXC7	BHV1-COW	26.748	28.216	17.699	-32122.51758	58.92	61.9	54.87	48.0	0.93	cow_na
P0CK30	G3MXB7	BHV1-COW	25.61	28.216	14.679	-31271.43164	58.92	61.9	56.88	44.0	1.1934	cow_na
P0CK30	G3X832	BHV1-COW	26.22	28.216	15.385	-32789.98047	58.92	61.9	64.1	60.0	1.0485	cow_na
P0CK30	E1BC44	BHV1-COW	26.176	28.216	17.073	-34719.56641	58.92	61.9	60.98	48.0	0.9563	cow_na
P0CK30	G5E641	BHV1-COW	25.0	28.216	14.655	-34767.21094	58.92	61.9	51.72	48.0	0.9418	cow_na
P0CK30	G5E681	BHV1-COW	26.254	28.216	18.103	-34387.20312	58.92	61.9	63.79	56.0	0.9956	cow_na
P0CK30	E1BF25	BHV1-COW	24.706	28.216	13.559	-35566.59766	58.92	61.9	55.93	44.0	0.9067	cow_na
P0CK30	E1BCC8	BHV1-COW	28.235	28.216	23.529	-35363.86328	58.92	61.9	59.66	44.0	0.9441	cow_na
P0CK30	G5E6I6	BHV1-COW	29.118	28.216	26.271	-35149.01172	58.92	61.9	62.71	56.0	0.8642	cow_na
P0CK30	E1BAF8	BHV1-COW	24.924	28.216	12.844	-32446.81445	58.92	61.9	59.63	76.0	1.286	cow_na
P0CK30	E1BG10	BHV1-COW	25.882	28.216	17.391	-33859.67188	58.92	61.9	59.13	68.0	1.011	cow_na
P0CK30	F1N2J5	BHV1-COW	26.471	28.216	18.966	-34211.14844	58.92	61.9	53.45	44.0	0.8233	cow_na
P0CK30	F1N367	BHV1-COW	27.647	28.216	20.313	-36689.20703	58.92	61.9	72.66	56.0	0.8802	cow_na
P0CK30	F1MGN3	BHV1-COW	24.706	28.216	13.559	-34584.93359	58.92	61.9	56.78	64.0	0.8981	cow_na
P0CK30	F1MGI2	BHV1-COW	25.588	28.216	16.379	-33540.98828	58.92	61.9	50.86	44.0	0.9842	cow_na
P0CK30	F1MEW6	BHV1-COW	27.844	28.216	22.727	-33641.12891	58.92	61.9	63.64	64.0	0.9587	cow_na
P0CK30	F1MZ83	BHV1-COW	27.647	28.216	19.847	-35561.14062	58.92	61.9	64.89	56.0	0.9475	cow_na
P0CK30	F1MPK8	BHV1-COW	24.924	28.216	12.5	-32220.92773	58.92	61.9	53.57	76.0	0.943	cow_na
P0CK30	F1MT41	BHV1-COW	25.294	28.216	15.385	-35295.19141	58.92	61.9	54.7	40.0	0.9392	cow_na
P0CK30	F1N6I7	BHV1-COW	27.647	28.216	19.847	-35561.14062	58.92	61.9	64.89	56.0	0.9475	cow_na
P0CK30	G3N1H5	BHV1-COW	26.176	28.216	17.797	-34169.85547	58.92	61.9	56.78	44.0	0.8789	cow_na
P0CK30	G3N347	BHV1-COW	26.911	28.216	17.857	-32084.0625	58.92	61.9	59.82	72.0	1.2073	cow_na
P0CK30	G3MYJ8	BHV1-COW	25.519	28.216	16.071	-32666.95898	58.92	61.9	50.0	60.0	0.9471	cow_na
P0CK30	G3MZH5	BHV1-COW	25.915	28.216	15.455	-31883.67578	58.92	61.9	55.45	72.0	1.0417	cow_na
P0CK30	G3N1M7	BHV1-COW	25.74	28.216	16.522	-33945.28906	58.92	61.9	58.26	56.0	1.052	cow_na
P0CK30	G3MZ26	BHV1-COW	25.382	28.216	13.761	-32956.64453	58.92	61.9	50.46	52.0	1.0012	cow_na
P0CK30	G3N2D7	BHV1-COW	27.976	28.216	23.214	-33504.21875	58.92	61.9	58.93	44.0	0.9402	cow_na
P0CK30	G3MYJ2	BHV1-COW	25.816	28.216	16.667	-32990.28125	58.92	61.9	62.28	64.0	0.9803	cow_na
P0CK30	G3MYQ5	BHV1-COW	28.235	28.216	23.14	-34575.05469	58.92	61.9	61.16	44.0	0.9416	cow_na
P0CK30	G3N3B4	BHV1-COW	25.836	28.216	14.53	-33323.92578	58.92	61.9	67.52	64.0	1.0535	cow_na
P0CK30	F1MR22	BHV1-COW	26.627	28.216	18.644	-33096.92578	58.92	61.9	60.17	28.0	0.8817	cow_na
P0CK30	E1B8P1	BHV1-COW	25.882	28.216	17.699	-34396.80859	58.92	61.9	55.75	32.0	0.8433	cow_na
P0CK30	G5E6H7	BHV1-COW	25.688	28.216	14.545	-31069.19727	58.92	61.9	58.18	76.0	1.1275	cow_na
P0CK30	E1BI17	BHV1-COW	27.059	28.216	20.69	-34254.36328	58.92	61.9	52.59	56.0	0.7998	cow_na
P0CK30	G3N2H1	BHV1-COW	25.294	28.216	15.652	-33753.23438	58.92	61.9	56.52	52.0	0.8716	cow_na
P0CK30	G3MZR7	BHV1-COW	25.0	28.216	14.167	-36677.85547	58.92	61.9	53.33	40.0	0.9359	cow_na
P0CK30	G3N2B5	BHV1-COW	26.748	28.216	17.857	-32204.55273	58.92	61.9	55.36	44.0	1.034	cow_na
P0CK30	G3X776	BHV1-COW	25.826	28.216	15.385	-32319.68555	58.92	61.9	61.54	60.0	1.0148	cow_na
P0CK30	E1BBP5	BHV1-COW	27.647	28.216	21.138	-35679.32031	58.92	61.9	63.41	60.0	0.9613	cow_na
P0CK30	G3MXX7	BHV1-COW	25.148	28.216	15.179	-32582.29688	58.92	61.9	48.21	60.0	0.9949	cow_na
P0CK30	F1MCK5	BHV1-COW	26.765	28.216	19.328	-35666.14844	58.92	61.9	57.98	44.0	0.8694	cow_na
P0CK30	G3MWT0	BHV1-COW	27.5	28.216	18.182	-31447.93555	58.92	61.9	66.36	64.0	0.9572	cow_na
P0CK30	F1MD89	BHV1-COW	26.471	28.216	19.298	-34945.81641	58.92	61.9	53.51	48.0	0.8802	cow_na
P0CK30	F1N3G5	BHV1-COW	28.235	28.216	23.932	-34964.76953	58.92	61.9	64.1	56.0	0.8661	cow_na
P0CK30	E1BHN3	BHV1-COW	26.506	28.216	17.544	-32985.23047	58.92	61.9	55.26	48.0	0.9618	cow_na
P0CK30	G3MWQ2	BHV1-COW	25.519	28.216	16.071	-32717.29102	58.92	61.9	50.89	60.0	1.0004	cow_na
P0CK30	G3N165	BHV1-COW	24.852	28.216	14.286	-33142.25781	58.92	61.9	48.21	60.0	0.9645	cow_na
P0CK30	G3MXY9	BHV1-COW	26.14	28.216	15.254	-31823.45312	58.92	61.9	66.1	56.0	1.1315	cow_na
P0CK30	G3MZ50	BHV1-COW	25.836	28.216	14.53	-34187.88672	58.92	61.9	63.25	56.0	1.0456	cow_na
P0CK30	G3X7A2	BHV1-COW	25.369	28.216	15.385	-34075.69531	58.92	61.9	56.41	44.0	0.8337	cow_na
P0CK30	E1BIJ9	BHV1-COW	27.964	28.216	21.053	-32199.13867	58.92	61.9	62.28	72.0	0.8875	cow_na
P0CK30	F1MHQ1	BHV1-COW	27.353	28.216	20.492	-36693.69531	58.92	61.9	61.48	36.0	0.8756	cow_na
P0CK30	E1B8H7	BHV1-COW	28.235	28.216	22.951	-35229.88281	58.92	61.9	68.85	60.0	1.0065	cow_na
P0CK30	E1BHM4	BHV1-COW	26.765	28.216	18.852	-36759.83984	58.92	61.9	56.56	28.0	0.848	cow_na
P0CK30	G5E5T4	BHV1-COW	28.235	28.216	23.14	-35541.95312	58.92	61.9	64.46	48.0	0.9287	cow_na
P0CK30	G3X6P8	BHV1-COW	27.414	28.216	18.018	-30857.86719	58.92	61.9	71.17	72.0	0.8872	cow_na
P0CK30	G3N2X1	BHV1-COW	25.223	28.216	15.179	-32893.54688	58.92	61.9	50.0	60.0	1.0034	cow_na
P0CK30	G3MYI5	BHV1-COW	24.926	28.216	14.286	-32649.36133	58.92	61.9	50.89	68.0	0.9725	cow_na
P0CK30	G5E5X1	BHV1-COW	24.706	28.216	13.913	-33759.87891	58.92	61.9	49.57	40.0	0.9519	cow_na
P0CK30	F1N6I5	BHV1-COW	27.647	28.216	19.847	-35561.14062	58.92	61.9	64.89	56.0	0.9475	cow_na
P0CK30	F1N368	BHV1-COW	27.647	28.216	20.313	-36689.20703	58.92	61.9	72.66	56.0	0.8802	cow_na
P0CK30	F1N6B9	BHV1-COW	26.154	28.216	15.315	-32440.29102	58.92	61.9	60.36	64.0	0.8866	cow_na
P0CK30	E1BKE0	BHV1-COW	27.353	28.216	21.739	-34079.61719	58.92	61.9	58.26	60.0	0.8499	cow_na
P0CK30	G3MWT1	BHV1-COW	25.588	28.216	16.239	-33932.74219	58.92	61.9	52.99	48.0	0.8963	cow_na
P0CK30	E1B9G5	BHV1-COW	25.532	28.216	14.545	-33376.69922	58.92	61.9	60.91	68.0	1.0664	cow_na
P0CK30	E1BFQ3	BHV1-COW	24.924	28.216	12.844	-32345.22266	58.92	61.9	56.88	88.0	1.0919	cow_na
P0CK30	G3X6C6	BHV1-COW	25.305	28.216	13.274	-31520.6582	58.92	61.9	54.87	56.0	0.8446	cow_na
P0CK30	F1MRU5	BHV1-COW	25.294	28.216	15.652	-35422.36328	58.92	61.9	49.57	40.0	1.0432	cow_na
P0CK30	G3MY18	BHV1-COW	26.748	28.216	17.857	-32207.68359	58.92	61.9	54.46	48.0	0.8933	cow_na
P0CK30	E1BAY9	BHV1-COW	26.667	28.216	17.699	-32194.41992	58.92	61.9	57.52	44.0	0.9265	cow_na
P0CK30	F1N2Y8	BHV1-COW	27.647	28.216	20.8	-35444.74609	58.92	61.9	63.2	60.0	0.8653	cow_na
P0CK30	E1BLJ5	BHV1-COW	25.378	28.216	13.913	-32081.73438	58.92	61.9	56.52	52.0	1.1179	cow_na
P0CK30	E1BEM6	BHV1-COW	25.588	28.216	16.667	-33956.44141	58.92	61.9	56.14	56.0	0.9146	cow_na
P0CK30	E1BCU8	BHV1-COW	27.353	28.216	19.685	-37015.16406	58.92	61.9	67.72	52.0	1.0434	cow_na
P0CK30	F6QLF1	BHV1-COW	27.941	28.216	22.131	-35660.17969	58.92	61.9	65.57	64.0	0.8496	cow_na
P0CK30	F1MSY8	BHV1-COW	26.471	28.216	18.182	-35735.95703	58.92	61.9	52.07	36.0	0.8866	cow_na
P0CK30	G5E6C8	BHV1-COW	25.382	28.216	13.274	-31729.40039	58.92	61.9	55.75	56.0	0.9635	cow_na
P0CK30	G3X7Z8	BHV1-COW	27.647	28.216	21.849	-35466.44141	58.92	61.9	63.03	48.0	0.8914	cow_na
P0CK30	E1BPH6	BHV1-COW	25.959	28.216	17.094	-35453.95312	58.92	61.9	63.25	68.0	1.2031	cow_na
P0CK30	E1BGL8	BHV1-COW	27.353	28.216	20.661	-35232.30859	58.92	61.9	61.16	48.0	0.9479	cow_na
P0CK30	G3N3Q3	BHV1-COW	25.882	28.216	16.949	-34507.62891	58.92	61.9	56.78	40.0	0.8703	cow_na
P0CK30	G3MYM5	BHV1-COW	26.38	28.216	16.071	-32486.21875	58.92	61.9	58.93	72.0	1.016	cow_na
P0CK30	G3MY71	BHV1-COW	26.706	28.216	18.487	-33141.53516	58.92	61.9	63.03	52.0	1.03	cow_na
P0CK30	E1B872	BHV1-COW	27.052	28.216	18.584	-32823.34766	58.92	61.9	53.98	48.0	0.9723	cow_na
P0CK30	E1BJR0	BHV1-COW	25.816	28.216	16.964	-32831.02344	58.92	61.9	50.89	60.0	0.9461	cow_na
P0CK30	G5E6E3	BHV1-COW	24.706	28.216	14.035	-33007.12891	58.92	61.9	51.75	40.0	0.9298	cow_na
P0CK30	G3N2T6	BHV1-COW	27.647	28.216	21.311	-36956.51172	58.92	61.9	57.38	52.0	0.885	cow_na
P0CK30	E1BL77	BHV1-COW	26.765	28.216	19.328	-35661.02344	58.92	61.9	60.5	36.0	0.949	cow_na
P0CK30	E1BKT7	BHV1-COW	27.879	28.216	21.053	-32221.35547	58.92	61.9	62.28	60.0	0.8969	cow_na
P0CK30	G3X6M9	BHV1-COW	27.941	28.216	22.131	-34323.21094	58.92	61.9	62.3	48.0	0.8899	cow_na
P0CK30	E1BMR1	BHV1-COW	25.46	28.216	13.274	-32548.60547	58.92	61.9	56.64	60.0	0.8449	cow_na
P0CK30	G3N188	BHV1-COW	26.765	28.216	19.328	-35006.74219	58.92	61.9	54.62	28.0	0.8481	cow_na
P0CK30	G3N052	BHV1-COW	25.298	28.216	14.912	-32786.99609	58.92	61.9	57.02	64.0	0.9311	cow_na
P0CK30	G3MX06	BHV1-COW	26.888	28.216	18.421	-32156.10742	58.92	61.9	58.77	56.0	1.1668	cow_na
P0CK30	F1MC06	BHV1-COW	25.882	28.216	16.26	-34455.8125	58.92	61.9	56.1	48.0	0.8379	cow_na
